83947,13114
83955,12958
38960,12267
19655,8781
19656,8093
19657,7655
13810,7378
19658,7339
19659,7163
36878,6825
38949,6387
38959,6003
36877,5726
36876,4855
19654,4815
95437,4696
16037,4403
3781,4319
18021,4298
26015,4251
36875,4195
26454,4146
95438,4108
32167,4012
36879,3964
27132,3899
13808,3884
13809,3844
16039,3831
77039,3802
17030,3773
14220,3742
27141,3700
9811,3679
32340,3662
77038,3597
14051,3586
16048,3583
22828,3561
19660,3558
95439,3515
27142,3492
19943,3481
26453,3479
14570,3468
51621,3450
3780,3445
82194,3399
77040,3398
38558,3397
24253,3396
4722,3371
25620,3371
13245,3366
4721,3340
58671,3337
12705,3335
4739,3330
18840,3328
21250,3300
4740,3299
38456,3293
4741,3273
26455,3245
19942,3223
16049,3215
21162,3203
27133,3125
36874,3088
16040,3070
74184,3067
96567,3063
95440,3043
77037,3042
47489,3039
38448,3020
5173,3017
25953,3012
415,2978
13069,2977
2282,2976
53875,2974
38472,2973
77041,2969
66053,2949
28517,2944
43982,2922
79166,2912
82199,2892
17402,2878
13244,2877
11843,2842
15041,2838
38561,2834
24844,2830
26452,2826
51684,2822
31039,2812
23405,2811
20417,2808
83379,2805
16050,2804
28519,2801
66064,2799
9812,2795
52799,2785
46671,2784
83175,2781
19944,2777
51268,2772
16664,2757
29605,2751
38565,2751
17184,2743
48131,2730
5442,2714
95441,2706
37194,2694
3867,2692
77036,2686
12403,2679
28227,2673
4476,2670
3811,2664
81979,2659
3812,2655
13084,2651
16047,2648
40362,2646
44877,2645
37195,2641
18832,2637
35537,2633
17026,2618
76569,2615
5212,2610
38462,2606
5172,2599
21883,2592
36704,2592
33594,2587
32179,2583
14572,2581
16046,2580
3819,2570
82738,2570
49237,2568
26003,2562
25990,2559
14571,2548
17218,2544
36681,2541
5467,2532
43981,2532
16504,2530
37196,2518
12706,2517
82189,2517
46672,2515
83176,2513
33873,2509
77028,2499
37229,2498
26456,2493
51712,2482
65114,2474
27918,2473
20328,2472
18488,2468
95442,2466
36708,2464
16034,2460
3810,2457
37761,2457
3813,2451
11844,2451
16834,2451
34965,2450
77026,2447
28575,2446
12077,2444
677,2441
20362,2440
96568,2438
28247,2435
3877,2432
21244,2429
66063,2429
381,2426
18160,2426
5254,2425
17029,2423
43983,2423
7518,2419
20418,2418
54017,2418
9243,2417
18229,2407
83172,2396
21165,2395
27134,2385
28631,2385
53320,2384
23663,2382
69621,2379
11265,2376
32172,2376
74046,2373
77035,2372
83174,2371
38670,2368
82190,2368
28518,2361
82186,2360
37419,2359
59269,2356
47757,2354
16833,2353
54018,2346
74047,2340
24401,2339
10499,2336
66054,2336
25724,2331
5155,2330
7169,2318
23406,2317
74365,2317
11362,2312
84093,2311
34836,2310
9810,2309
38471,2308
16835,2306
27146,2306
81734,2306
86020,2306
27135,2305
65113,2305
53319,2303
66065,2303
21873,2302
10237,2300
84332,2300
48167,2298
66052,2295
82193,2291
16665,2290
83857,2288
40361,2287
16683,2286
3809,2281
29606,2280
51880,2280
65759,2276
35850,2267
18019,2264
382,2263
16836,2263
17401,2262
68692,2258
29110,2257
29314,2250
2712,2249
67583,2249
18228,2247
71326,2246
13034,2243
20416,2243
29058,2242
40062,2242
95443,2242
20361,2238
37193,2233
46961,2227
46673,2220
22618,2217
47770,2217
30760,2214
38458,2213
53266,2213
3814,2211
29604,2211
81438,2210
19929,2209
18020,2206
37230,2203
18489,2202
68787,2196
38457,2195
51267,2192
17183,2189
16832,2188
86336,2186
90400,2185
59268,2180
33909,2179
46781,2179
83894,2179
65115,2177
11842,2169
43980,2169
19941,2168
31055,2167
38473,2165
16038,2163
78517,2162
16041,2159
51620,2158
81432,2156
5603,2155
50939,2153
68788,2152
19025,2151
82188,2151
47092,2149
30886,2147
44807,2139
46670,2138
13642,2136
11845,2134
51726,2134
11403,2129
26618,2124
13154,2122
16831,2119
24516,2117
26002,2117
82903,2111
45257,2110
51321,2110
77029,2110
94318,2110
36705,2107
71322,2107
35843,2106
38671,2104
71495,2104
28248,2103
5327,2102
62549,2102
23645,2100
81977,2100
19945,2099
66062,2096
69622,2096
78563,2096
16830,2095
83907,2093
51678,2089
53321,2087
38474,2086
21884,2085
83168,2084
41067,2081
8689,2080
4865,2079
40550,2076
52783,2075
12305,2073
26619,2071
29894,2070
20419,2069
13032,2068
15652,2067
20360,2066
11069,2063
3779,2062
51618,2061
3808,2057
28262,2056
59281,2056
51619,2055
5505,2054
9256,2054
18460,2053
15692,2052
25991,2049
26451,2048
45341,2047
5504,2045
7647,2043
21245,2043
83173,2043
16042,2040
84775,2039
40360,2038
29790,2036
95444,2035
16967,2032
28562,2030
12273,2029
81677,2028
12076,2027
59267,2027
20363,2026
13146,2024
13281,2020
46859,2020
383,2019
69625,2017
94503,2016
