40332,44194,34562,13606.521999999999,9132,13606.521999999999,1149,16860.409999999996,386,16860.409999999996,563,16195.714,219,16199.874,691,14799.276,286,14799.276,1979,13911.159000000003,706,13911.159000000003
30435,89826,16723,10126.467000000002,2359,10126.467000000002,2199,13464.491999999997,345,13506.797999999997,2242,13464.491999999997,1188,18627.663,286,10495.27,244,14135.993999999999,1062,10495.269999999999,408,14138.013999999996
45639,94894,45210,20020.822000000015,13791,20020.822000000015,48487,20020.822000000015,14571,20020.822000000015,26662,30786.89499999999,4366,30786.89499999999,24001,27075.57999999999,3757,27137.840999999993,2205,20042.566,383,20042.566
16744,85455,47619,17462.198,20333,17462.198,4947,21822.127999999997,1829,21822.127999999997,5078,21320.126999999997,1902,21324.286999999997,5030,21430.327999999998,1975,21430.327999999998,6406,20000.977000000003,2311,19256.279000000002
51837,95453,51104,18928.812000000016,10910,18928.812000000016,5385,24482.095,1276,24482.095,6545,23770.395000000004,1743,23770.395000000004,6846,23227.189999999995,1841,23227.189999999995,8901,22807.489000000005,2618,22807.489000000005
88607,66091,28995,12050.466000000002,7559,12050.466000000002,5048,16348.163,1335,16496.684,799,13429.933,401,13271.491000000002,955,13429.933000000003,824,14108.329,1997,12694.919,725,13261.506999999998
27514,71797,63522,18732.643000000004,19814,18732.643000000004,7880,23781.831,2996,23781.831,8017,23365.257,3038,23439.516000000003,6678,19885.816,3124,21057.658,8580,20307.072,3030,21947.856
10033,84029,44206,17198.251999999997,9170,17198.251999999997,46900,17198.251999999997,9379,17198.251999999997,703,19640.028000000002,183,19640.028000000002,536,18057.881999999998,148,18057.881999999998,2031,17236.593000000004,420,17236.593000000004
18416,45347,47531,15885.590999999997,13265,15885.590999999997,5869,38099.45199999999,1858,37666.58199999999,1276,22716.38,888,23371.036,1241,19754.884,951,19209.251,3102,16717.732000000004,1227,16717.732000000004
22927,85269,39761,13188.420000000004,7254,13188.420000000004,41100,13188.420000000004,7403,13188.420000000004,3128,14966.694000000003,1131,14966.694000000003,2120,14845.979000000005,1097,14845.979000000005,3056,14403.190000000002,1201,14403.190000000002
32462,29433,57047,15415.498999999996,4639,15415.498999999996,1625,25373.946999999993,558,25373.946999999993,1799,19118.180999999997,540,19118.180999999997,2163,18573.522999999994,549,18573.522999999994,3220,16089.511999999997,233,16089.511999999997
19772,25366,51342,20160.122999999992,14331,20160.122999999992,3395,28462.992,1168,28462.992,1846,28551.879999999997,558,28551.879999999997,1176,22838.109,372,22838.109,2857,20244.767000000003,643,20244.767000000003
56018,73819,45949,14609.815000000002,8801,14609.815000000002,15038,22413.676,2089,22891.759,2787,17363.503999999997,735,17363.503999999997,1622,17085.096,234,17085.096,3023,16208.074999999995,586,16208.074999999995
91887,92634,26775,15594.032999999994,6191,15594.032999999994,65072,15594.032999999994,23490,15594.032999999994,33599,31330.82599999999,18845,31330.82599999999,31965,30653.551,17989,30653.551,3487,24695.95599999999,404,24695.95599999999
94432,95558,40743,12773.084000000013,9149,12773.084000000013,4739,33816.700999999994,1586,33816.700999999994,4857,17356.206000000002,1703,21016.671000000002,5108,16936.18,1802,20310.415,3524,15022.937,1051,15022.937
74682,62087,23352,17935.317999999996,6737,17935.317999999996,4673,29418.263000000003,1210,29965.847,2687,20007.514000000003,1045,21434.570000000003,1324,19307.54699999999,878,20734.602999999992,1163,18281.433,944,20683.908
20874,63767,38856,17194.758000000016,11100,17194.758000000016,5194,30925.962999999992,1037,30925.962999999992,5190,29180.022999999994,909,29180.022999999994,39499,17194.758000000016,11443,17194.758000000016,2592,18513.599,516,18432.087
74278,27578,29964,16537.305000000004,11591,16537.305000000004,651,18415.331000000006,305,18415.331000000006,712,17954.30100000001,306,17954.30100000001,823,18361.20500000001,361,18361.20500000001,1506,17366.833000000006,413,17160.362000000005
96556,68931,46177,13555.02799999999,7303,13555.02799999999,5618,30209.72599999999,1276,30231.407999999992,460,18174.91,216,18196.592,783,18066.659000000003,422,18174.805,2887,14058.650000000005,532,14245.858000000002
50921,17831,39365,14636.058999999997,9558,14636.058999999997,21899,29409.655,6625,25364.501999999993,17713,24938.255999999994,6283,25948.156999999996,13044,24800.742,3727,24800.742,11177,21944.202,3671,22892.575
